id,title,url,referenceId,posterId,location,type,postDate,company.name,company.logo,company.url
3965578157,Adobe Experience Platform Data Engineer,https://www.linkedin.com/jobs/view/3965578157,SkIz81QsNR7EP13mo/KDzw==,266779521,"Riga, Riga, Latvia (Hybrid)",Full-time,1 week ago,Swisscom DevOps Center Riga,https://media.licdn.com/dms/image/D4D0BAQEnuAthd-ib8Q/company-logo_200_200/0/1719841606567/swisscom_devops_center_riga_logo?e=1729123200&v=beta&t=9K2fRmSCixIFKGtY0Sduy2Z6q_daoKFP_Mcq2a--p_0,https://www.linkedin.com/company/swisscom-devops-center-riga/life
268062603,Senior Data Engineer,https://www.linkedin.com/jobs/view/268062603,SkIz81QsNR7EP13mo/KDzw==,8949551,"Bucharest, Romania (Hybrid)",Full-time,3 weeks ago,TRON,https://media.licdn.com/dms/image/C4D0BAQF9m6U7W1JFtg/company-logo_200_200/0/1630541381928/tron_it_consulting_logo?e=1729123200&v=beta&t=cOmLafEfdUqZOkSy0Q-MiUmbrS8WeZ8ONiVcZzHwTAI,https://www.linkedin.com/company/tron-it-consulting/life
3939160908,Data Engineer,https://www.linkedin.com/jobs/view/3939160908,SkIz81QsNR7EP13mo/KDzw==,565752904,"Limassol, Cyprus (Hybrid)",Full-time,1 month ago,Electi Consulting,https://media.licdn.com/dms/image/C4E0BAQHM3LtiuYKu_g/company-logo_200_200/0/1631373881985?e=1729123200&v=beta&t=_JoeZlQCyiSm1BHq7l7WmITIomCEB4bD4QIiSNFNVI4,https://www.linkedin.com/company/electiconsulting/life
3961702193,Data Engineer,https://www.linkedin.com/jobs/view/3961702193,SkIz81QsNR7EP13mo/KDzw==,127448466,"Gothenburg, Västra Götaland County, Sweden (On-site)",Full-time,2 weeks ago,Cetasol - Maritime Sustainability,https://media.licdn.com/dms/image/C4E0BAQHvFb0wY2KCew/company-logo_200_200/0/1638976530837/cetasol_logo?e=1729123200&v=beta&t=bl-tjS4i7ID3v-129I1GN8grezq52uOygYsrnObpA64,https://www.linkedin.com/company/cetasol/life
3921325243,Snowflake Data Engineer,https://www.linkedin.com/jobs/view/3921325243,SkIz81QsNR7EP13mo/KDzw==,649109939,"Budapest, Hungary (Hybrid)",Full-time,2 months ago,Hiflylabs,https://media.licdn.com/dms/image/C4D0BAQFbZrjGkvJrjQ/company-logo_200_200/0/1630475652537/hiflylabs_informatikai_kft__logo?e=1729123200&v=beta&t=URg32FSVeaYHGjCeAHHRNogL3FK3uGeeurn2YDr51F4,https://www.linkedin.com/company/hiflylabs/life
3976686317,Data Engineer,https://www.linkedin.com/jobs/view/3976686317,SkIz81QsNR7EP13mo/KDzw==,963954664,"San Gwann, Malta (On-site)",Full-time,21 hours ago,Kanon Gaming Limited,https://media.licdn.com/dms/image/D4E0BAQGOVPOAVEBsOQ/company-logo_200_200/0/1698836588924/kanongaming_logo?e=1729123200&v=beta&t=ndqtzM0k-pDWLXzmBj9bW9iJ8QiwxhBRMbdIlIlVuxw,https://www.linkedin.com/company/kanongaming/life
3908739167,Data Engineer,https://www.linkedin.com/jobs/view/3908739167,SkIz81QsNR7EP13mo/KDzw==,258610826,Porto Metropolitan Area (Hybrid),Contract,2 months ago,ARMIS Group,https://media.licdn.com/dms/image/C4E0BAQGBYN8tMOsx0A/company-logo_200_200/0/1630634514749/armis_logo?e=1729123200&v=beta&t=0isFyaayUCR1pXEyPJdmFA45ZJnP8Q4wMSWNQM3rJ0g,https://www.linkedin.com/company/armis/life
3968156714,Azure Data Engineer,https://www.linkedin.com/jobs/view/3968156714,SkIz81QsNR7EP13mo/KDzw==,421726030,"Antwerp, Flemish Region, Belgium (On-site)",Full-time,1 week ago,Visser & Van Baars,https://media.licdn.com/dms/image/C4E0BAQFO5BLCxlyLdw/company-logo_200_200/0/1649155660621/visser__van_baars_b_v__logo?e=1729123200&v=beta&t=CucLjJaJkmoo-p-YS9ry3ojWV77uE90cAIGqZsmK01M,https://www.linkedin.com/company/visser-van-baars/life
3964536388,Senior Data Engineer,https://www.linkedin.com/jobs/view/3964536388,SkIz81QsNR7EP13mo/KDzw==,373442825,"Vilnius, Vilniaus, Lithuania (On-site)",Full-time,2 weeks ago,Adtractive,https://media.licdn.com/dms/image/D4E0BAQG868_Ix3Jp5g/company-logo_200_200/0/1686733191076/adtractive_logo?e=1729123200&v=beta&t=PQ5fIzGPuVLSy1XJXplQYiH9mtWelY3RrzQ-Mi6Ylak,https://www.linkedin.com/company/adtractive/life
3932598637,Data Engineer / Data Warehouse Engineer (m/w/d),https://www.linkedin.com/jobs/view/3932598637,SkIz81QsNR7EP13mo/KDzw==,64932103,Greater Nuremberg Metropolitan Area (Hybrid),Full-time,1 month ago,Trevisto AG,https://media.licdn.com/dms/image/C4E0BAQGfG19lcm1otA/company-logo_200_200/0/1655710414935/trevisto_ag_logo?e=1729123200&v=beta&t=ABJbb9MwN02Y1lw9N31NO5KbSHZ1EH94Fu2PrV12lAI,https://www.linkedin.com/company/trevisto-ag/life
3947628114,Data engineer director,https://www.linkedin.com/jobs/view/3947628114,SkIz81QsNR7EP13mo/KDzw==,50554292,Italy (Remote),Full-time,1 month ago,Connected-Stories,https://media.licdn.com/dms/image/D4D0BAQHmsaLFqNYHMA/company-logo_200_200/0/1700836426864/connected_stories_logo?e=1729123200&v=beta&t=AYr_kXkcW-aDY9i4-3AYvoP-LxCqy8fubGU8tvKbnwI,https://www.linkedin.com/company/connected-stories/life
3953454724,Senior Data Engineer,https://www.linkedin.com/jobs/view/3953454724,SkIz81QsNR7EP13mo/KDzw==,22345645,"Amsterdam, North Holland, Netherlands (Hybrid)",Full-time,3 weeks ago,Merqato,https://media.licdn.com/dms/image/D4E0BAQHYvXNOqFnNdg/company-logo_200_200/0/1689347620615/cropinsights_logo?e=1729123200&v=beta&t=XhTVAm7Sk3UOPCR0iUFX6Fk-nVTuEw6DMyIHE_CpmFk,https://www.linkedin.com/company/cropinsights/life
3970761674,Ingénieur·e de données confirmé·e / Senior Data Engineer,https://www.linkedin.com/jobs/view/3970761674,SkIz81QsNR7EP13mo/KDzw==,4641003,Greater Paris Metropolitan Region (Hybrid),Full-time,6 days ago,Rnest by La mètis,https://media.licdn.com/dms/image/C4D0BAQEZ8-QkXny0Hg/company-logo_200_200/0/1630484144197/la_m_tis_logo?e=1729123200&v=beta&t=PFlc8SAhZprxDeNR5IT9liHnhmS-6psSw7mjI8qzzQ8,https://www.linkedin.com/company/la-m-tis/life
3964322278,Data Engineer,https://www.linkedin.com/jobs/view/3964322278,SkIz81QsNR7EP13mo/KDzw==,409794297,Greater Milan Metropolitan Area (On-site),Full-time,1 week ago,Azienda Anonima,,https://www.linkedin.com/company/promedical-italia/life
3934404162,Data Engineer / Analyst,https://www.linkedin.com/jobs/view/3934404162,SkIz81QsNR7EP13mo/KDzw==,921797393,"Floriana, Malta (On-site)",Full-time,2 weeks ago,MAPFRE MSV Life,https://media.licdn.com/dms/image/D4D0BAQEDHBwl4tDh5A/company-logo_200_200/0/1695025003956/msv_life_p_l_c__logo?e=1729123200&v=beta&t=tLsJyQ1AnKv0MvhNNe2KM4PG3siqqjPd6zVhH_0SjbM,https://www.linkedin.com/company/msv-life-p-l-c-/life
3972601830,Senior Data Engineer,https://www.linkedin.com/jobs/view/3972601830,SkIz81QsNR7EP13mo/KDzw==,668650956,Romania (Remote),Part-time,4 days ago,Opsfleet,https://media.licdn.com/dms/image/D4E0BAQFS4Is-cRV1LQ/company-logo_200_200/0/1690298974685/opsfleet_logo?e=1729123200&v=beta&t=CTyb0e91eVEh1p5BbKoNvVhvscprmzanzTnfNEijF0A,https://www.linkedin.com/company/opsfleet/life
3966255206,Senior Data Engineer,https://www.linkedin.com/jobs/view/3966255206,SkIz81QsNR7EP13mo/KDzw==,94860130,"Bordeaux, Nouvelle-Aquitaine, France (Hybrid)",Full-time,3 days ago,netcarbon,https://media.licdn.com/dms/image/C4E0BAQFSw1iSVE6DiQ/company-logo_200_200/0/1667997842753/netcarbon_logo?e=1729123200&v=beta&t=vfG1lNQm3aB4JmmG1wBWJJym_vLneWFCoflqCTL1zHc,https://www.linkedin.com/company/netcarbon/life
3956308089,Azure Data Engineer,https://www.linkedin.com/jobs/view/3956308089,SkIz81QsNR7EP13mo/KDzw==,197021514,"Lisbon, Portugal (Hybrid)",Full-time,3 weeks ago,Adentis Portugal,https://media.licdn.com/dms/image/C4D0BAQEBIj4Yft3a1w/company-logo_200_200/0/1662714289264/adentis_portugal_logo?e=1729123200&v=beta&t=zAJSDvOEAQQEcP__E5PcXrV3vtZQoN9i_rYv9E4zAk0,https://www.linkedin.com/company/adentis-portugal/life
3951966042,Azure Data Engineer,https://www.linkedin.com/jobs/view/3951966042,SkIz81QsNR7EP13mo/KDzw==,324542068,"Kontich, Flemish Region, Belgium (Hybrid)",Full-time,3 weeks ago,Matter of Match,https://media.licdn.com/dms/image/D4E0BAQFJWEZ4-vb4tg/company-logo_200_200/0/1704187949247/matterofmatch_logo?e=1729123200&v=beta&t=ugapT7L_sg8CPk5tCKnG13Zd6IKCXZx8EB-LNuEpG04,https://www.linkedin.com/company/matterofmatch/life
3976803801,Junior Data Engineer,https://www.linkedin.com/jobs/view/3976803801,SkIz81QsNR7EP13mo/KDzw==,384576974,"Porto, Portugal (Hybrid)",Full-time,21 hours ago,Aubay Portugal,https://media.licdn.com/dms/image/D4D0BAQG-SPLLzwF70g/company-logo_200_200/0/1712325593343/aubay_portugal_logo?e=1729123200&v=beta&t=BWhAw6A7sT1KDfjQvDQHuxUP4c8AKHrimD6n_tVBqbE,https://www.linkedin.com/company/aubay-portugal/life
3955312934,Data Engineer,https://www.linkedin.com/jobs/view/3955312934,SkIz81QsNR7EP13mo/KDzw==,155758110,"Las Palmas de Gran Canaria, Canary Islands, Spain (Hybrid)",Full-time,3 weeks ago,Intelequia,https://media.licdn.com/dms/image/C4D0BAQE-vZ-HuCTDsA/company-logo_200_200/0/1630496763782/intelequia_software_solutions_logo?e=1729123200&v=beta&t=FGkkHiCZWypP5NnZVI7FobDteqhkmABtJuZ7D2l6GX0,https://www.linkedin.com/company/intelequia/life
